"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1985-09","Sep-1985","NATUSD","National currency per US dollar","0","Units",,,237.2265,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1985-10","Oct-1985","NATUSD","National currency per US dollar","0","Units",,,214.9139,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1985-11","Nov-1985","NATUSD","National currency per US dollar","0","Units",,,204.3435,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1985-12","Dec-1985","NATUSD","National currency per US dollar","0","Units",,,202.7468,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1986-01","Jan-1986","NATUSD","National currency per US dollar","0","Units",,,200.099,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1986-02","Feb-1986","NATUSD","National currency per US dollar","0","Units",,,184.6,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1986-03","Mar-1986","NATUSD","National currency per US dollar","0","Units",,,178.7825,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1986-04","Apr-1986","NATUSD","National currency per US dollar","0","Units",,,175.5714,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1986-05","May-1986","NATUSD","National currency per US dollar","0","Units",,,166.8443,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1986-06","Jun-1986","NATUSD","National currency per US dollar","0","Units",,,167.8262,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1986-07","Jul-1986","NATUSD","National currency per US dollar","0","Units",,,158.6478,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1986-08","Aug-1986","NATUSD","National currency per US dollar","0","Units",,,154.1105,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1986-09","Sep-1986","NATUSD","National currency per US dollar","0","Units",,,154.7805,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1986-10","Oct-1986","NATUSD","National currency per US dollar","0","Units",,,156.0468,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1986-11","Nov-1986","NATUSD","National currency per US dollar","0","Units",,,162.6826,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1986-12","Dec-1986","NATUSD","National currency per US dollar","0","Units",,,162.2386,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1987-01","Jan-1987","NATUSD","National currency per US dollar","0","Units",,,154.4805,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1987-02","Feb-1987","NATUSD","National currency per US dollar","0","Units",,,153.4905,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1987-03","Mar-1987","NATUSD","National currency per US dollar","0","Units",,,151.5723,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1987-04","Apr-1987","NATUSD","National currency per US dollar","0","Units",,,142.9514,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1987-05","May-1987","NATUSD","National currency per US dollar","0","Units",,,140.4753,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1987-06","Jun-1987","NATUSD","National currency per US dollar","0","Units",,,144.5155,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1987-07","Jul-1987","NATUSD","National currency per US dollar","0","Units",,,150.2039,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1987-08","Aug-1987","NATUSD","National currency per US dollar","0","Units",,,147.5809,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1987-09","Sep-1987","NATUSD","National currency per US dollar","0","Units",,,143.0519,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1987-10","Oct-1987","NATUSD","National currency per US dollar","0","Units",,,143.4186,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1987-11","Nov-1987","NATUSD","National currency per US dollar","0","Units",,,135.4215,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1987-12","Dec-1987","NATUSD","National currency per US dollar","0","Units",,,128.3014,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1988-01","Jan-1988","NATUSD","National currency per US dollar","0","Units",,,127.4125,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1988-02","Feb-1988","NATUSD","National currency per US dollar","0","Units",,,129.3119,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1988-03","Mar-1988","NATUSD","National currency per US dollar","0","Units",,,127.2043,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1988-04","Apr-1988","NATUSD","National currency per US dollar","0","Units",,,124.8595,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1988-05","May-1988","NATUSD","National currency per US dollar","0","Units",,,124.7444,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1988-06","Jun-1988","NATUSD","National currency per US dollar","0","Units",,,127.1795,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1988-07","Jul-1988","NATUSD","National currency per US dollar","0","Units",,,133.1014,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1988-08","Aug-1988","NATUSD","National currency per US dollar","0","Units",,,133.7065,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1988-09","Sep-1988","NATUSD","National currency per US dollar","0","Units",,,134.4762,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1988-10","Oct-1988","NATUSD","National currency per US dollar","0","Units",,,128.839,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1988-11","Nov-1988","NATUSD","National currency per US dollar","0","Units",,,123.1475,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1988-12","Dec-1988","NATUSD","National currency per US dollar","0","Units",,,123.6318,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1989-01","Jan-1989","NATUSD","National currency per US dollar","0","Units",,,127.115,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1989-02","Feb-1989","NATUSD","National currency per US dollar","0","Units",,,127.9342,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1989-03","Mar-1989","NATUSD","National currency per US dollar","0","Units",,,130.3309,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1989-04","Apr-1989","NATUSD","National currency per US dollar","0","Units",,,131.9745,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1989-05","May-1989","NATUSD","National currency per US dollar","0","Units",,,138.0805,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1989-06","Jun-1989","NATUSD","National currency per US dollar","0","Units",,,143.9118,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1989-07","Jul-1989","NATUSD","National currency per US dollar","0","Units",,,140.6662,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1989-08","Aug-1989","NATUSD","National currency per US dollar","0","Units",,,141.19,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1989-09","Sep-1989","NATUSD","National currency per US dollar","0","Units",,,145.0585,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1989-10","Oct-1989","NATUSD","National currency per US dollar","0","Units",,,142.1381,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1989-11","Nov-1989","NATUSD","National currency per US dollar","0","Units",,,143.5519,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1989-12","Dec-1989","NATUSD","National currency per US dollar","0","Units",,,143.7386,,
"CCUS","Currency exchange rates, monthly average","JPN","Japan","M","Monthly","1990-01","Jan-1990","NATUSD","National currency per US dollar","0","Units",,,145.177,,
