"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1999-08","Aug-1999","PC","Percentage","0","Units",,,1.878,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1999-09","Sep-1999","PC","Percentage","0","Units",,,1.759,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1999-10","Oct-1999","PC","Percentage","0","Units",,,1.692,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1999-11","Nov-1999","PC","Percentage","0","Units",,,1.817,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","1999-12","Dec-1999","PC","Percentage","0","Units",,,1.767,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2000-01","Jan-2000","PC","Percentage","0","Units",,,1.691,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2000-02","Feb-2000","PC","Percentage","0","Units",,,1.796,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2000-03","Mar-2000","PC","Percentage","0","Units",,,1.819,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2000-04","Apr-2000","PC","Percentage","0","Units",,,1.74,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2000-05","May-2000","PC","Percentage","0","Units",,,1.705,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2000-06","Jun-2000","PC","Percentage","0","Units",,,1.664,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2000-07","Jul-2000","PC","Percentage","0","Units",,,1.689,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2000-08","Aug-2000","PC","Percentage","0","Units",,,1.75,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2000-09","Sep-2000","PC","Percentage","0","Units",,,1.876,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2000-10","Oct-2000","PC","Percentage","0","Units",,,1.815,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2000-11","Nov-2000","PC","Percentage","0","Units",,,1.764,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2000-12","Dec-2000","PC","Percentage","0","Units",,,1.624,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2001-01","Jan-2001","PC","Percentage","0","Units",,,1.508,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2001-02","Feb-2001","PC","Percentage","0","Units",,,1.415,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2001-03","Mar-2001","PC","Percentage","0","Units",,,1.169,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2001-04","Apr-2001","PC","Percentage","0","Units",,,1.315,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2001-05","May-2001","PC","Percentage","0","Units",,,1.25,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2001-06","Jun-2001","PC","Percentage","0","Units",,,1.152,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2001-07","Jul-2001","PC","Percentage","0","Units",,,1.305,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2001-08","Aug-2001","PC","Percentage","0","Units",,,1.343,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2001-09","Sep-2001","PC","Percentage","0","Units",,,1.346,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2001-10","Oct-2001","PC","Percentage","0","Units",,,1.363,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2001-11","Nov-2001","PC","Percentage","0","Units",,,1.328,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2001-12","Dec-2001","PC","Percentage","0","Units",,,1.334,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2002-01","Jan-2002","PC","Percentage","0","Units",,,1.42,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2002-02","Feb-2002","PC","Percentage","0","Units",,,1.501,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2002-03","Mar-2002","PC","Percentage","0","Units",,,1.421,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2002-04","Apr-2002","PC","Percentage","0","Units",,,1.394,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2002-05","May-2002","PC","Percentage","0","Units",,,1.365,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2002-06","Jun-2002","PC","Percentage","0","Units",,,1.328,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2002-07","Jul-2002","PC","Percentage","0","Units",,,1.296,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2002-08","Aug-2002","PC","Percentage","0","Units",,,1.255,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2002-09","Sep-2002","PC","Percentage","0","Units",,,1.129,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2002-10","Oct-2002","PC","Percentage","0","Units",,,1.095,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2002-11","Nov-2002","PC","Percentage","0","Units",,,0.979,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2002-12","Dec-2002","PC","Percentage","0","Units",,,0.975,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2003-01","Jan-2003","PC","Percentage","0","Units",,,0.836,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2003-02","Feb-2003","PC","Percentage","0","Units",,,0.828,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2003-03","Mar-2003","PC","Percentage","0","Units",,,0.724,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2003-04","Apr-2003","PC","Percentage","0","Units",,,0.663,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2003-05","May-2003","PC","Percentage","0","Units",,,0.577,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2003-06","Jun-2003","PC","Percentage","0","Units",,,0.529,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2003-07","Jul-2003","PC","Percentage","0","Units",,,0.956,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2003-08","Aug-2003","PC","Percentage","0","Units",,,1.406,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2003-09","Sep-2003","PC","Percentage","0","Units",,,1.42,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2003-10","Oct-2003","PC","Percentage","0","Units",,,1.437,,
"IRLT","Long-term interest rates, Per cent per annum","JPN","Japan","M","Monthly","2003-11","Nov-2003","PC","Percentage","0","Units",,,1.333,,
